GameID,ShooterID,EventID,CnS,Points,TimeCns,v_CnS,dist_at_shot,shot_angle,shooter_move_angle,shooter_travel,DefID,def_dist_at_shot,def_avg_vel,SpeedBeforeShot0.5s,SBS1.0s,SBS1.5s,SBS2.0s,SBS2.5s,SBS3.0s,SBS3.5s,SBS4.0s,SBS4.5s,SBS5.0s,SpeedBeforeCatch0.5s,SBC1.0s,SBC1.5s,SBC2.0s,SBC2.5s,SBC3.0s,SBC3.5s,SBC4.0s,SBC4.5s,SBC5.0s
21500617,203086,116,TRUE,3,0.36,1.980207607,25.5924623,44.78280379,88.54776891,0.025453412,202390,11.43570809,7.034186717,,,,,,,,,,,3.513209463,4.593872894,3.91386738,3.92859449,3.585491132,3.384498025,3.274206709,3.684424635,3.869070068,3.591532922
21500617,203078,127,TRUE,3,0.56,10.46768041,22.74329955,44.89698671,130.2942838,-3.243310661,201945,9.558322086,1.285397586,10.33619344,,,,,,,,,,11.50996504,10.73159044,8.262164233,6.642862511,5.748053579,5.378148589,5.146941821,4.989283107,5.481096026,6.012491854
21500617,201162,131,TRUE,3,0.32,1.160938459,23.37692839,47.53433351,75.75995692,0.087784936,203086,12.46005075,11.92150117,,,,,,,,,,,0.642944483,1.033259369,1.516316013,2.661227877,4.231870861,5.527258608,6.406269755,6.617192097,6.176067475,5.710405786
21500617,201162,137,TRUE,3,0.32,1.907471772,25.3094887,45.0593306,26.39916718,0.54428716,201945,12.70690169,4.299911008,,,,,,,,,,,2.507533071,3.967061612,6.168194323,8.112529402,9.57505731,10.47198454,11.22412496,11.52417934,11.55211167,11.25246583
21500617,201945,138,TRUE,3,0.28,0.487957806,22.6233426,9.433934346,57.49554611,0.051043208,2403,10.06211032,10.72076618,,,,,,,,,,,1.348052374,1.034283227,0.92966342,1.174876765,1.726269454,2.178240129,2.988060091,3.738516253,4.643502632,5.44064924
21500617,203468,143,FALSE,3,3.84,5.29188193,23.24259709,28.55674566,87.02769837,7.874215279,201196,4.502629697,3.094490143,4.739504189,7.238112569,6.864477194,5.465827245,4.907748095,4.497639542,4.628378826,,,,15.21817755,17.15796833,17.94205565,18.18038899,18.06994632,17.49835463,16.32179731,14.79923011,13.18561958,12.00589294
21500617,203086,158,TRUE,0,0.24,3.33701066,25.23298526,40.14726303,56.67637184,0.444998462,201162,20.29056698,8.816706049,,,,,,,,,,,6.100118265,6.330352165,6.424286892,6.091946659,6.140481638,6.066039567,6.657044115,7.120749329,7.374710585,7.015109094
21500617,201162,160,TRUE,0,0.16,1.152664787,22.79743135,48.61239824,93.53421024,-0.010620366,202334,10.63166762,8.892069261,,,,,,,,,,,0.793086466,0.881339976,0.903422898,1.216733634,2.004288585,2.690634727,3.377640029,3.884747379,4.925988325,5.956051295
21500617,202322,163,FALSE,0,4.96,8.030786727,25.87712887,42.59931776,46.06070681,30.19873659,202334,7.622694959,0.533322202,4.957362182,3.983520823,3.453907307,3.401093868,3.335675664,3.551375923,4.164738323,5.417172097,6.909927001,,17.4720406,17.39829711,16.53415385,14.24672746,12.56222647,11.95271773,11.6388454,12.0072457,12.15677673,12.10438604
21500617,203081,173,FALSE,0,8.08,7.617565804,26.73597315,43.60590163,93.62977564,0.016197083,202066,5.404603794,0.701986839,8.181852361,9.08933722,10.24318624,10.80233824,11.31908428,10.9521736,9.691912652,8.63552445,7.744212586,7.081004554,12.01842092,11.90296196,9.708036527,8.1901614,7.157270578,6.38908897,5.608361681,5.028762794,4.751359804,
21500617,202329,189,TRUE,0,0.4,3.863162013,23.20717581,46.5545495,90.84245084,0.02841783,202390,14.3933646,8.222254065,,,,,,,,,,,7.781614646,8.378649785,8.776121497,8.737975133,8.173032965,7.562874325,6.947065408,6.531319302,6.242923317,6.069931715
21500617,203468,227,FALSE,0,0.68,1.717561261,26.18322559,29.50552849,97.40481323,-0.118560719,202322,4.534550099,5.106202223,1.035772957,,,,,,,,,,7.459656277,7.343052641,6.650019883,5.977991924,5.267163933,4.847273338,4.464377401,4.289098952,4.065071757,3.915485347
21500617,201162,255,TRUE,0,0.32,5.345015978,25.7653393,15.99851416,31.52493963,1.452321536,203486,14.47283302,1.387999029,,,,,,,,,,,8.316235828,10.39524513,12.01790901,13.01092924,13.66671025,13.96018007,13.9920137,13.77102268,13.18763654,12.59256944
